elapsed_secs,render_class,identity_lhs,identity_rhs,identity_holds
3720,CONSISTENT,0,852,0
3730,CONSISTENT,1000,1157,0
3740,CONSISTENT,1000,1556,0
3750,CONSISTENT,0,852,0
3760,CONSISTENT,1000,1161,0
3770,CONSISTENT,1000,1509,0
3780,CONSISTENT,0,775,0
3790,TORN,1000,1087,
3800,CONSISTENT,1000,1480,0
3810,CONSISTENT,0,723,0
3820,CONSISTENT,1000,1037,0
3830,CONSISTENT,1000,1441,0
3840,CONSISTENT,0,645,0
3850,CONSISTENT,1000,1031,0
3861,TORN,1000,1424,
3870,TORN,0,602,
3880,CONSISTENT,0,989,0
3890,CONSISTENT,1000,1372,0
3900,CONSISTENT,1000,1741,0
3910,CONSISTENT,0,813,0
3920,CONSISTENT,1000,1207,0
3930,CONSISTENT,1000,1589,0
3940,CONSISTENT,0,821,0
3950,TORN,1000,1145,
3960,CONSISTENT,1000,1537,0
3970,CONSISTENT,0,788,0
3980,CONSISTENT,1000,1130,0
3991,CONSISTENT,1000,1530,0
4000,CONSISTENT,0,700,0
4010,CONSISTENT,1000,1104,0
4020,CONSISTENT,1000,1496,0
4030,CONSISTENT,0,704,0
4040,CONSISTENT,1000,1063,0
4050,CONSISTENT,1000,1456,0
4060,CONSISTENT,0,821,0
4070,CONSISTENT,1000,1058,0
4080,TORN,1000,1451,
4090,CONSISTENT,1000,1801,0
4100,CONSISTENT,1000,1064,0
4110,CONSISTENT,1000,1393,0
4120,CONSISTENT,0,602,0
4130,TORN,1000,1002,
4140,CONSISTENT,1000,1359,0
4150,CONSISTENT,1000,1758,0
4160,CONSISTENT,0,973,0
4170,CONSISTENT,1000,1380,0
4180,CONSISTENT,1000,1777,0
4190,CONSISTENT,0,961,0
4200,TORN,1000,1366,
4210,CONSISTENT,0,521,0
4220,CONSISTENT,0,844,0
4231,CONSISTENT,1000,1242,0
4240,CONSISTENT,1000,1595,0
4250,CONSISTENT,0,969,0
4260,CONSISTENT,1000,1200,0
4270,CONSISTENT,0,505,0
4281,CONSISTENT,0,798,0
4290,CONSISTENT,1000,1153,0
4300,CONSISTENT,1000,1550,0
4310,CONSISTENT,0,811,0
4320,CONSISTENT,1000,1154,0
4330,TORN,1000,1510,
4340,CONSISTENT,0,768,0
4350,CONSISTENT,1000,1102,0
4360,TORN,1000,1500,
4370,CONSISTENT,0,714,0
4380,CONSISTENT,1000,1060,0
4390,CONSISTENT,1000,1459,0
4400,CONSISTENT,0,671,0
4410,CONSISTENT,1000,1053,0
4420,CONSISTENT,1000,1412,0
4430,CONSISTENT,0,619,0
4440,TORN,1000,1016,
4450,CONSISTENT,1000,1408,0
4460,CONSISTENT,0,743,0
4470,CONSISTENT,0,969,0
4480,CONSISTENT,1000,1360,0
4490,TORN,1000,1758,
4500,CONSISTENT,1000,1004,0
4510,CONSISTENT,0,247,0
4520,CONSISTENT,0,476,0
4530,CONSISTENT,0,876,0
4540,CONSISTENT,1000,1274,0
4550,CONSISTENT,1000,1677,0
4560,CONSISTENT,0,885,0
4570,CONSISTENT,1000,1247,0
4580,CONSISTENT,0,589,0
4590,CONSISTENT,0,843,0
4600,TORN,1000,1247,
4610,CONSISTENT,0,481,0
4620,TORN,0,806,
4630,CONSISTENT,1000,1209,0
4640,CONSISTENT,1000,1597,0
4650,CONSISTENT,0,913,0
4660,CONSISTENT,1000,1168,0
4670,CONSISTENT,1000,1561,0
4680,CONSISTENT,0,764,0
4690,CONSISTENT,1000,1161,0
4700,CONSISTENT,1000,1555,0
4710,TORN,0,719,
4720,CONSISTENT,1000,1128,0
4730,TORN,1000,1521,
4740,TORN,0,729,
4750,TORN,1000,1089,
4760,CONSISTENT,1000,1486,0
4770,CONSISTENT,1000,1883,0
4780,CONSISTENT,1000,1092,0
4790,CONSISTENT,1000,1486,0
4800,CONSISTENT,0,734,0
4810,CONSISTENT,1000,1006,0
4820,TORN,1000,1405,
4830,CONSISTENT,0,669,0
4840,TORN,0,965,
4850,CONSISTENT,1000,1367,0
4860,CONSISTENT,0,572,0
4870,TORN,0,970,
4880,TORN,1000,1358,
4890,TORN,1000,1713,
4900,CONSISTENT,1000,1025,0
4910,CONSISTENT,1000,1305,0
4920,CONSISTENT,0,511,0
4930,CONSISTENT,0,865,0
4940,TORN,1000,1254,
4950,CONSISTENT,1000,1653,0
4960,CONSISTENT,0,970,0
4970,CONSISTENT,1000,1243,0
4980,CONSISTENT,1000,1594,0
4990,CONSISTENT,0,798,0
5000,TORN,1000,1190,
5010,CONSISTENT,1000,1588,0
5020,CONSISTENT,0,860,0
5030,CONSISTENT,1000,1152,0
5040,TORN,1000,1551,
5050,CONSISTENT,0,791,0
5060,CONSISTENT,1000,1136,0
5070,CONSISTENT,1000,1487,0
5080,CONSISTENT,0,743,0
5090,CONSISTENT,1000,1060,0
5100,CONSISTENT,1000,1443,0
5110,CONSISTENT,0,528,0
5120,CONSISTENT,0,882,0
5130,TORN,1000,1274,
5140,CONSISTENT,1000,1668,0
5150,CONSISTENT,1000,1032,0
5160,CONSISTENT,1000,1219,0
5170,CONSISTENT,0,451,0
5180,CONSISTENT,0,819,0
5190,CONSISTENT,1000,1211,0
5200,TORN,1000,1607,
5210,CONSISTENT,0,925,0
5220,CONSISTENT,1000,1165,0
5230,CONSISTENT,1000,1563,0
5240,CONSISTENT,0,872,0
5250,CONSISTENT,1000,1157,0
5260,CONSISTENT,1000,1514,0
5270,CONSISTENT,0,783,0
5280,CONSISTENT,1000,1107,0
5290,CONSISTENT,1000,1497,0
5300,CONSISTENT,0,725,0
5310,TORN,1000,1053,
5320,CONSISTENT,1000,1433,0
5330,CONSISTENT,0,654,0
5340,CONSISTENT,0,998,0
5350,TORN,1000,1354,
5360,CONSISTENT,0,560,0
5370,CONSISTENT,0,943,0
5380,TORN,1000,1321,
5390,CONSISTENT,1000,1713,0
5400,CONSISTENT,0,992,0
5410,TORN,1000,1249,
5420,CONSISTENT,0,507,0
5430,CONSISTENT,0,831,0
5440,CONSISTENT,1000,1211,0
5450,CONSISTENT,1000,1555,0
5460,CONSISTENT,0,832,0
5470,CONSISTENT,1000,1130,0
5480,TORN,1000,1517,
5491,CONSISTENT,0,757,0
5500,CONSISTENT,1000,1067,0
5510,CONSISTENT,1000,1459,0
5520,CONSISTENT,0,668,0
5530,CONSISTENT,1000,1048,0
5540,CONSISTENT,1000,1433,0
5550,CONSISTENT,0,601,0
5560,CONSISTENT,0,984,0
5570,CONSISTENT,1000,1363,0
5580,CONSISTENT,1000,1758,0
5590,CONSISTENT,0,936,0
5600,CONSISTENT,1000,1300,0
5610,CONSISTENT,1000,1692,0
5620,CONSISTENT,0,894,0
5630,CONSISTENT,1000,1280,0
5640,CONSISTENT,1000,1642,0
5650,CONSISTENT,0,847,0
5660,CONSISTENT,1000,1230,0
5670,CONSISTENT,0,574,0
5680,CONSISTENT,0,826,0
5690,CONSISTENT,1000,1177,0
5700,CONSISTENT,1000,1565,0
5710,CONSISTENT,0,710,0
5720,CONSISTENT,1000,1030,0
5730,CONSISTENT,1000,1422,0
5740,CONSISTENT,0,652,0
5750,CONSISTENT,0,990,0
5760,CONSISTENT,1000,1382,0
5770,CONSISTENT,0,589,0
5780,CONSISTENT,0,981,0
5790,CONSISTENT,1000,1336,0
5800,CONSISTENT,1000,1735,0
5810,CONSISTENT,0,948,0
5820,CONSISTENT,1000,1342,0
5830,CONSISTENT,0,570,0
5840,CONSISTENT,0,902,0
5850,CONSISTENT,1000,1300,0
5860,CONSISTENT,1000,1689,0
5870,TORN,0,889,
5880,CONSISTENT,1000,1280,0
5890,CONSISTENT,0,556,0
5900,CONSISTENT,0,846,0
5910,CONSISTENT,1000,1239,0
5920,CONSISTENT,1000,1634,0
5930,CONSISTENT,0,933,0
5940,CONSISTENT,1000,1235,0
5950,CONSISTENT,0,471,0
5960,CONSISTENT,0,797,0
5970,CONSISTENT,1000,1187,0
5980,CONSISTENT,1000,1578,0
5990,CONSISTENT,0,804,0
6000,TORN,1000,1162,
6010,CONSISTENT,0,311,0
6020,TORN,0,648,
6030,CONSISTENT,1000,1032,0
6041,CONSISTENT,1000,1431,0
6050,CONSISTENT,0,698,0
6060,CONSISTENT,0,986,0
6070,TORN,1000,1397,
6080,CONSISTENT,0,598,0
6090,CONSISTENT,0,946,0
6100,CONSISTENT,1000,1348,0
6110,CONSISTENT,1000,1743,0
6120,CONSISTENT,0,951,0
6130,CONSISTENT,1000,1348,0
6140,CONSISTENT,1000,1698,0
6150,CONSISTENT,0,907,0
6160,CONSISTENT,1000,1304,0
6170,CONSISTENT,0,651,0
6180,CONSISTENT,0,911,0
6190,CONSISTENT,1000,1266,0
6200,CONSISTENT,0,534,0
6210,CONSISTENT,0,864,0
6220,CONSISTENT,1000,1259,0
6230,CONSISTENT,1000,1651,0
6241,CONSISTENT,0,931,0
6250,CONSISTENT,1000,1200,0
6260,CONSISTENT,1000,1589,0
6270,CONSISTENT,0,812,0
6280,CONSISTENT,1000,1187,0
6290,CONSISTENT,1000,1572,0
6300,CONSISTENT,0,737,0
6310,CONSISTENT,1000,1018,0
6320,TORN,1000,1414,
6330,CONSISTENT,1000,1801,0
6340,CONSISTENT,0,957,0
6350,TORN,1000,1351,
6360,CONSISTENT,1000,1737,0
6370,CONSISTENT,0,940,0
6380,CONSISTENT,1000,1329,0
6390,CONSISTENT,0,659,0
6400,TORN,0,900,
6410,TORN,1000,1289,
6420,CONSISTENT,0,526,0
6430,CONSISTENT,0,879,0
6440,CONSISTENT,1000,1222,0
6450,CONSISTENT,1000,1607,0
6460,CONSISTENT,0,932,0
6470,CONSISTENT,1000,1190,0
6480,TORN,1000,1536,
6490,CONSISTENT,0,727,0
6500,CONSISTENT,1000,1117,0
6510,CONSISTENT,1000,1502,0
6520,CONSISTENT,0,706,0
6530,CONSISTENT,1000,1069,0
6540,CONSISTENT,1000,1461,0
6550,CONSISTENT,0,662,0
6560,CONSISTENT,1000,1057,0
6570,CONSISTENT,1000,1461,0
6580,CONSISTENT,1000,1809,0
6590,CONSISTENT,1000,1021,0
6600,CONSISTENT,1000,1419,0
6610,CONSISTENT,0,534,0
6620,CONSISTENT,0,895,0
6630,CONSISTENT,1000,1245,0
6640,CONSISTENT,1000,1649,0
6650,CONSISTENT,0,917,0
6660,CONSISTENT,1000,1233,0
6670,CONSISTENT,1000,1626,0
6680,TORN,0,787,
6690,TORN,1000,1190,
6700,TORN,1000,1597,
6710,TORN,0,799,
6720,CONSISTENT,1000,1176,0
6730,CONSISTENT,1000,1523,0
6740,CONSISTENT,0,722,0
6750,TORN,1000,1112,
6760,CONSISTENT,1000,1503,0
6770,CONSISTENT,1000,1856,0
6780,CONSISTENT,1000,1056,0
6790,CONSISTENT,1000,1456,0
6800,CONSISTENT,0,757,0
6810,CONSISTENT,1000,1034,0
6820,CONSISTENT,1000,1419,0
6830,CONSISTENT,0,619,0
6840,CONSISTENT,0,971,0
6850,CONSISTENT,1000,1373,0
6860,CONSISTENT,0,684,0
6870,CONSISTENT,0,959,0
6880,CONSISTENT,1000,1322,0
6890,TORN,1000,1715,
6900,CONSISTENT,0,920,0
6910,CONSISTENT,1000,1202,0
6920,CONSISTENT,0,445,0
6930,CONSISTENT,0,772,0
6940,CONSISTENT,1000,1170,0
6950,CONSISTENT,1000,1556,0
6960,CONSISTENT,0,803,0
6970,CONSISTENT,1000,1163,0
6980,CONSISTENT,1000,1520,0
6990,TORN,0,724,
7000,CONSISTENT,1000,1124,0
7010,TORN,1000,1518,
7020,CONSISTENT,0,910,0
7030,CONSISTENT,1000,1079,0
7040,CONSISTENT,1000,1474,0
7050,CONSISTENT,0,731,0
7060,CONSISTENT,1000,1071,0
7070,TORN,1000,1467,
7081,CONSISTENT,0,676,0
7090,CONSISTENT,1000,1025,0
7100,TORN,1000,1421,
7110,CONSISTENT,0,620,0
7120,CONSISTENT,1000,1014,0
7130,CONSISTENT,1000,1366,0
7140,CONSISTENT,1000,1767,0
7150,TORN,0,972,
7160,TORN,1000,1372,
7170,CONSISTENT,0,716,0
7180,CONSISTENT,0,930,0
7190,TORN,1000,1328,
7200,CONSISTENT,0,601,0
7210,CONSISTENT,0,887,0
7220,TORN,1000,1238,
7230,TORN,1000,1632,
7240,CONSISTENT,0,887,0
7250,CONSISTENT,1000,1201,0
7260,CONSISTENT,0,526,0
7270,CONSISTENT,0,758,0
7280,TORN,1000,1147,
7290,CONSISTENT,1000,1546,0
7300,CONSISTENT,0,756,0
7310,CONSISTENT,1000,1154,0
7320,CONSISTENT,1000,1510,0
7330,CONSISTENT,0,714,0
7340,TORN,1000,1113,
7350,CONSISTENT,1000,1507,0
7360,CONSISTENT,1000,1906,0
7370,CONSISTENT,1000,1074,0
7380,TORN,1000,1476,
7390,TORN,0,684,
7400,CONSISTENT,1000,1081,0
7410,CONSISTENT,1000,1473,0
7420,CONSISTENT,0,776,0
7430,CONSISTENT,1000,1047,0
7440,CONSISTENT,1000,1442,0
7450,CONSISTENT,0,640,0
7460,CONSISTENT,1000,1028,0
7470,CONSISTENT,1000,1379,0
7480,CONSISTENT,0,581,0
7490,CONSISTENT,0,966,0
7500,CONSISTENT,1000,1347,0
7510,CONSISTENT,1000,1600,0
7520,CONSISTENT,0,802,0
7530,CONSISTENT,1000,1196,0
7540,CONSISTENT,1000,1581,0
7550,TORN,0,775,
7561,TORN,1000,1162,
7570,CONSISTENT,1000,1518,0
7580,CONSISTENT,0,720,0
7590,CONSISTENT,1000,1114,0
7600,CONSISTENT,1000,1513,0
7610,CONSISTENT,0,827,0
7620,TORN,1000,1073,
7630,CONSISTENT,1000,1479,0
7640,CONSISTENT,0,690,0
7650,TORN,1000,1076,
7660,CONSISTENT,1000,1465,0
7670,CONSISTENT,0,638,0
7680,CONSISTENT,1000,1034,0
7690,CONSISTENT,1000,1428,0
7700,CONSISTENT,1000,1825,0
7710,CONSISTENT,1000,1042,0
7720,CONSISTENT,1000,1391,0
7730,CONSISTENT,0,597,0
7740,TORN,1000,1002,
7750,TORN,1000,1403,
7760,CONSISTENT,0,644,0
7770,CONSISTENT,0,980,0
7780,CONSISTENT,1000,1380,0
7790,CONSISTENT,0,602,0
7800,CONSISTENT,0,996,0
7810,CONSISTENT,1000,1285,0
7820,CONSISTENT,0,657,0
7830,TORN,0,867,
7840,CONSISTENT,1000,1276,0
7850,CONSISTENT,0,526,0
7860,CONSISTENT,0,897,0
7870,CONSISTENT,1000,1302,0
7880,TORN,1000,1670,
7890,CONSISTENT,0,914,0
7900,CONSISTENT,1000,1291,0
7910,CONSISTENT,0,572,0
7920,CONSISTENT,0,923,0
7930,CONSISTENT,1000,1288,0
7940,CONSISTENT,0,615,0
7950,CONSISTENT,0,907,0
7960,CONSISTENT,1000,1302,0
7970,CONSISTENT,0,709,0
7980,CONSISTENT,0,925,0
7990,CONSISTENT,1000,1287,0
8000,CONSISTENT,1000,1691,0
