elapsed_secs,rss_mb,wal_mb,redb_mb,disk_total_mb,tombstone_bytes,phys_footprint_mb,phys_footprint_peak_mb,reclaimable_mb,compressed_mb,conj_snapshots_total,conj_current_epoch,conj_ceiling,conj_durable_watermark,durable_watermark_lag,claims,claim_lag_p50,claim_lag_p99,claim_lag_max,ret_epochs_claim_only,ret_epochs_durability_only,ret_epochs_both,ret_epochs_neither,ret_refs_claim_only,ret_refs_durability_only,ret_refs_both,ret_refs_neither,ret_stamped_bytes,ret_epochs_unslotted,ret_refs_open_epoch,ret_stamped_bytes_open_epoch,indexed_refs,considered_total,dropped_total,matched_nothing_total,absent_total,bytes_freed_total,removed_refs_observed_total,removed_bytes_observed_total,stamped_bytes_total,clean_mb
10500,6620.469,3.379,125.027,128.406,24679,6149.726,6320.242,488.734,19.766,2273,383,383,381,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,73,1679,1073,380000,380000,0,0,8577354,380000,8577354,8600354,6.453
10560,6649.828,3.059,125.027,128.090,46138,6178.555,6320.242,488.734,19.234,2286,385,385,383,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,151,3473,1151,381000,381000,0,0,8600354,382000,8623354,8646354,6.453
10620,6664.219,3.352,125.027,128.379,31855,6200.476,6320.242,481.062,18.969,2299,387,387,385,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,385,8855,1385,384000,384000,0,0,8669354,384000,8669354,8692354,6.453
10680,6708.281,3.324,125.027,128.355,37099,6262.617,6320.242,466.484,22.578,2312,389,389,387,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,613,14099,1613,386000,386000,0,0,8715354,386000,8715354,8738354,6.453
10740,6731.328,3.266,125.027,128.293,42159,6284.976,6320.242,466.484,21.906,2325,391,391,389,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,833,19159,1833,388000,388000,0,0,8761354,388000,8761354,8784354,6.453
10800,6770.297,3.176,125.027,128.207,36455,6343.351,6343.351,447.406,22.219,2338,394,394,392,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,21,483,1021,390000,390000,0,0,8807354,391000,8830354,8853354,6.453
10860,6833.266,3.461,125.027,128.488,26197,6405.961,6405.961,447.406,21.859,2351,396,396,394,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,139,3197,1139,393000,393000,0,0,8876354,393000,8876354,8899354,6.453
10920,6823.812,3.422,125.027,128.441,31533,6420.539,6420.539,423.016,21.500,2364,398,398,396,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,371,8533,1371,395000,395000,0,0,8922354,395000,8922354,8945354,6.453
10980,6889.156,3.449,125.027,128.477,35857,6485.320,6485.320,423.016,20.922,2377,400,400,398,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,559,12857,1559,397000,397000,0,0,8968354,397000,8968354,8991354,6.453
11040,6921.516,3.234,125.027,128.258,26266,6517.383,6517.383,423.016,20.625,2390,402,402,401,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,775,17825,775,399000,399000,0,0,9014354,400000,9037354,9037354,6.453
11100,6918.766,3.215,125.027,128.242,45195,6600.789,6600.789,367.688,51.453,2403,404,404,402,2,1,0,0,0,0,1,0,0,0,1000,0,0,23000,0,965,22195,1965,401000,401000,0,0,9060354,401000,9060354,9083354,6.453
