elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
800,26326,25000,25000,0,0,0,0,0,533714,25,26301,25,28,28,53,1326,2,0,1027,28,28,28,26,26,6,1,25000,25,25,25,1,53,1,53,25000,25,25000,25,533714,25,562886,999.9447405703887
810,26714,25000,25000,0,0,0,0,0,533714,25,26689,25,28,28,53,1714,2,0,1027,28,28,28,26,26,16,1,25000,25,25,25,1,53,1,53,25000,25,25000,25,533714,25,571422,999.9447405703887
820,26921,26000,26000,0,0,0,0,0,555714,26,26895,26,28,28,54,921,1,1000,907,28,28,28,27,27,26,1,26000,26,26,26,1,54,1,54,26000,26,26000,26,555714,26,575976,999.9447405703887
830,27320,26000,26000,0,0,0,0,0,555714,26,27294,26,29,29,55,1320,2,0,1032,29,29,29,27,27,6,1,26000,26,26,26,1,55,1,55,26000,26,26000,26,555714,26,584754,999.9447405703887
840,27724,26000,26000,0,0,0,0,0,555714,26,27698,26,29,29,55,1724,2,0,1032,29,29,29,27,27,16,1,26000,26,26,26,1,55,1,55,26000,26,26000,26,555714,26,593642,999.9447405703887
850,28045,26000,26000,0,0,0,0,0,555714,26,28019,26,30,30,57,1046,2,0,1040,30,30,30,28,28,0,1,26000,26,26,26,2,57,2,57,26000,26,26000,26,555714,26,600726,999.9447405703887
860,28383,27000,27000,0,0,0,0,0,577714,27,28356,27,30,30,57,1383,2,0,1040,30,30,30,28,28,10,1,27000,27,27,27,2,57,2,57,27000,27,27000,27,577714,27,608162,999.9447405703887
870,28584,27000,27000,0,0,0,0,0,577714,27,28557,27,30,30,58,585,1,1000,565,30,30,30,29,29,20,1,27000,27,27,27,2,58,2,58,27000,27,27000,27,577714,27,612584,999.9447405703887
880,28939,27000,27000,0,0,0,0,0,577714,27,28912,27,30,30,58,940,1,1000,565,30,30,30,29,29,30,1,27000,27,27,27,2,58,2,58,27000,27,27000,27,577714,27,620394,999.9447405703887
890,29321,27000,27000,0,0,0,0,0,577714,27,29294,27,31,31,59,1322,2,0,1057,31,31,31,29,29,6,1,27000,27,27,27,2,59,2,59,27000,27,27000,27,577714,27,628798,999.9447405703887
900,29706,27000,27000,0,0,0,0,0,577714,27,29679,27,31,31,60,708,1,1000,705,31,31,31,30,30,17,1,27000,27,27,27,2,60,2,60,27000,27,27000,27,577714,27,637312,999.9447405703887
910,29934,28000,28000,0,0,0,0,0,599714,28,29906,28,31,31,60,935,1,1000,705,31,31,31,30,30,27,1,28000,28,28,28,2,60,2,60,28000,28,28000,28,599714,28,642284,999.9447405703887
920,30319,28000,28000,0,0,0,0,0,599714,28,30291,28,32,32,61,1320,2,0,1004,32,32,32,30,30,8,1,28000,28,28,28,2,61,2,61,28000,28,28000,28,599714,28,650754,999.9447405703887
931,30712,28000,28000,0,0,0,0,0,599714,28,30684,28,32,32,61,1713,2,0,1004,32,32,32,30,30,18,1,28000,28,28,28,2,61,2,61,28000,28,28000,28,599714,28,659400,999.9447405703887
940,30886,29000,29000,0,0,0,0,0,621714,29,30857,29,32,32,62,887,1,1000,852,32,32,32,31,31,26,1,29000,29,29,29,2,62,2,62,29000,29,29000,29,621714,29,663250,999.9447405703887
950,31264,29000,29000,0,0,0,0,0,621714,29,31235,29,33,33,63,1265,2,0,1040,33,33,33,31,31,4,1,29000,29,29,29,2,63,2,63,29000,29,29000,29,621714,29,671566,999.9447405703887
960,31639,29000,29000,0,0,0,0,0,621714,29,31610,29,33,33,63,1640,2,0,1040,33,33,33,31,31,16,1,29000,29,29,29,2,63,2,63,29000,29,29000,29,621714,29,679794,999.9447405703887
970,31966,29000,29000,0,0,0,0,0,621714,29,31937,29,33,33,64,968,1,1000,963,33,33,33,32,32,26,1,29000,29,29,29,2,64,2,64,29000,29,29000,29,621714,29,687010,999.9447405703887
980,32214,29000,29000,0,0,0,0,0,621714,29,32185,29,34,34,65,1216,2,0,1058,34,34,34,32,32,4,1,29000,29,29,29,2,65,2,65,29000,29,29000,29,621714,29,692466,999.9447405703887
990,32564,29000,29000,0,0,0,0,0,621714,29,32535,29,34,34,65,1566,2,0,1058,34,34,34,32,32,12,1,29000,29,29,29,2,65,2,65,29000,29,29000,29,621714,29,700166,0
1000,32766,30000,30000,0,0,0,0,0,643714,30,32736,30,34,34,66,768,1,1000,664,34,34,34,33,33,22,1,30000,30,30,30,2,66,2,66,30000,30,30000,30,643714,30,704610,999.9447405703887
1010,33148,30000,30000,0,0,0,0,0,643714,30,33118,30,35,35,67,1150,2,0,1007,35,35,35,33,33,2,1,30000,30,30,30,2,67,2,67,30000,30,30000,30,643714,30,713014,999.9447405703887
1020,33526,30000,30000,0,0,0,0,0,643714,30,33496,30,35,35,67,1528,2,0,1007,35,35,35,33,33,14,1,30000,30,30,30,2,67,2,67,30000,30,30000,30,643714,30,721330,999.9447405703887
1030,33911,30000,30000,0,0,0,0,0,643714,30,33881,30,35,35,67,1913,2,0,1007,35,35,35,33,33,24,1,30000,30,30,30,2,67,2,67,30000,30,30000,30,643714,30,729800,999.9447405703887
1040,34080,31000,31000,0,0,0,0,0,665714,31,34049,31,36,36,69,1082,2,0,1051,36,36,36,34,34,4,1,31000,31,31,31,3,69,3,69,31000,31,31000,31,665714,31,733518,999.9447405703887
1050,34472,31000,31000,0,0,0,0,0,665714,31,34441,31,36,36,69,1474,2,0,1051,36,36,36,34,34,14,1,31000,31,31,31,3,69,3,69,31000,31,31000,31,665714,31,742142,999.9447405703887
