elapsed_secs,topgun_or_prune_passes_total,topgun_or_prune_considered_total,topgun_or_prune_dropped_total,topgun_or_prune_matched_nothing_total,topgun_or_prune_absent_total,topgun_or_prune_restored_read_error_total,topgun_or_prune_restored_evicted_total,topgun_or_prune_restored_write_error_total,topgun_or_prune_bytes_freed_total,topgun_or_prune_epochs_drained_total,topgun_or_prune_empty_drains_total,topgun_or_prune_nonempty_drains_total,topgun_or_prune_lwm_advances_total,topgun_or_prune_lwm_epochs_advanced_total,topgun_or_prune_split_recomputes_total,topgun_or_prune_indexed_refs,topgun_or_prune_indexed_epochs,topgun_or_prune_eligible_refs,topgun_or_prune_ineligible_refs,topgun_or_prune_split_computed_epoch,topgun_or_prune_current_epoch,topgun_or_prune_low_water_mark,topgun_or_prune_durable_epoch_watermark,topgun_or_prune_last_drained_epoch,topgun_or_prune_lwm_stall_seconds,topgun_or_prune_tracked_claims,topgun_or_prune_drain_refs_sum,topgun_or_prune_drain_refs_count,topgun_or_prune_drain_epochs_sum,topgun_or_prune_drain_epochs_count,topgun_or_prune_claim_span_epochs_sum,topgun_or_prune_claim_span_epochs_count,topgun_or_prune_claim_lag_epochs_sum,topgun_or_prune_claim_lag_epochs_count,topgun_or_prune_epoch_considered_sum,topgun_or_prune_epoch_considered_count,topgun_or_prune_epoch_dropped_sum,topgun_or_prune_epoch_dropped_count,topgun_or_prune_epoch_bytes_freed_sum,topgun_or_prune_epoch_bytes_freed_count,topgun_ormap_tombstone_bytes_total,topgun_or_prune_drain_refs_p50
860,27854,25000,25000,0,0,0,0,0,533707,25,27829,25,29,29,56,856,1,1000,755,29,29,29,28,28,24,1,25000,25,25,25,4,56,4,56,25000,25,25000,25,533707,25,596539,999.9447405703887
870,28238,25000,25000,0,0,0,0,0,533707,25,28213,25,30,30,57,1240,2,0,1014,30,30,30,28,28,4,1,25000,25,25,25,4,57,4,57,25000,25,25000,25,533707,25,604987,0
880,28613,25000,25000,0,0,0,0,0,533707,25,28588,25,30,30,57,1615,2,0,1014,30,30,30,28,28,16,1,25000,25,25,25,4,57,4,57,25000,25,25000,25,533707,25,613259,0
890,28903,25000,25000,0,0,0,0,0,533707,25,28878,25,30,30,58,906,1,1000,891,30,30,30,29,29,24,1,25000,25,25,25,4,58,4,58,25000,25,25000,25,533707,25,619639,0
900,29169,26000,26000,0,0,0,0,0,555707,26,29143,26,31,31,59,1171,2,0,1043,31,31,31,29,29,2,1,26000,26,26,26,4,59,4,59,26000,26,26000,26,555707,26,625513,999.9447405703887
910,29439,26000,26000,0,0,0,0,0,555707,26,29413,26,31,31,59,1441,2,0,1043,31,31,31,29,29,12,1,26000,26,26,26,4,59,4,59,26000,26,26000,26,555707,26,631409,999.9447405703887
920,29811,26000,26000,0,0,0,0,0,555707,26,29785,26,31,31,60,814,1,1000,811,31,31,31,30,30,23,1,26000,26,26,26,4,60,4,60,26000,26,26000,26,555707,26,639615,999.9447405703887
930,30016,27000,27000,0,0,0,0,0,577707,27,29989,27,31,31,60,1018,2,1000,811,31,32,31,30,30,33,1,27000,27,27,27,4,60,4,60,27000,27,27000,27,577707,27,644103,999.9447405703887
940,30364,27000,27000,0,0,0,0,0,577707,27,30337,27,32,32,61,1366,2,0,1056,32,32,32,30,30,8,1,27000,27,27,27,4,61,4,61,27000,27,27000,27,577707,27,651759,999.9447405703887
950,30747,27000,27000,0,0,0,0,0,577707,27,30720,27,32,32,61,1749,2,0,1056,32,32,32,30,30,18,1,27000,27,27,27,4,61,4,61,27000,27,27000,27,577707,27,660185,999.9447405703887
960,30979,27000,27000,0,0,0,0,0,577707,27,30952,27,32,32,62,982,1,1000,972,32,32,32,31,31,28,1,27000,27,27,27,4,62,4,62,27000,27,27000,27,577707,27,665311,999.9447405703887
970,31334,28000,28000,0,0,0,0,0,599707,28,31306,28,33,33,63,1336,2,0,1011,33,33,33,31,31,8,1,28000,28,28,28,4,63,4,63,28000,28,28000,28,599707,28,673121,999.9447405703887
980,31528,28000,28000,0,0,0,0,0,599707,28,31500,28,33,33,64,531,1,1000,490,33,33,33,32,32,18,1,28000,28,28,28,4,64,4,64,28000,28,28000,28,599707,28,677389,999.9447405703887
990,31872,28000,28000,0,0,0,0,0,599707,28,31844,28,33,33,64,875,1,1000,490,33,33,33,32,32,26,1,28000,28,28,28,4,64,4,64,28000,28,28000,28,599707,28,684957,999.9447405703887
1000,32246,28000,28000,0,0,0,0,0,599707,28,32218,28,34,34,65,1249,2,0,1025,34,34,34,32,32,6,1,28000,28,28,28,4,65,4,65,28000,28,28000,28,599707,28,693207,999.9447405703887
1010,32627,28000,28000,0,0,0,0,0,599707,28,32599,28,34,34,65,1630,2,0,1025,34,34,34,32,32,16,1,28000,28,28,28,4,65,4,65,28000,28,28000,28,599707,28,701589,999.9447405703887
1020,32853,28000,28000,0,0,0,0,0,599707,28,32825,28,34,34,66,857,1,1000,851,34,34,34,33,33,26,1,28000,28,28,28,4,66,4,66,28000,28,28000,28,599707,28,706561,0
1030,33194,28000,28000,0,0,0,0,0,599707,28,33166,28,35,35,67,1198,2,0,1028,35,35,35,33,33,4,1,28000,28,28,28,4,67,4,67,28000,28,28000,28,599707,28,714063,0
1040,33535,28000,28000,0,0,0,0,0,599707,28,33507,28,35,35,67,1539,2,0,1028,35,35,35,33,33,12,1,28000,28,28,28,4,67,4,67,28000,28,28000,28,599707,28,721565,0
1050,33801,28000,28000,0,0,0,0,0,599707,28,33773,28,35,35,68,806,1,1000,800,35,35,35,34,34,24,1,28000,28,28,28,4,68,4,68,28000,28,28000,28,599707,28,727439,0
