epoch,entered_index,stamped_bytes,refs_at_entry,has_exit_row,exit_kind_variant,unclassified_exit,class_a,class_b,class_c,class_d,class_e,class_f
321,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
322,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
323,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
324,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
325,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
326,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
327,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
328,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
329,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
330,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
331,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
332,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
333,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
334,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
335,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
336,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
337,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
338,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
339,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
340,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
341,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
342,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
343,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
344,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
345,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
346,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
347,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
348,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
349,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
350,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
351,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
352,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
353,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
354,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
355,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
356,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
357,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
358,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
359,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
360,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
361,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
362,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
363,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
364,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
365,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
366,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
367,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
368,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
369,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
370,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
371,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
372,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
373,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
374,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
375,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
376,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
377,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
378,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
379,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
380,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
381,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
382,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
383,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
384,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
385,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
386,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
387,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
388,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
389,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
390,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
391,true,23000,1000,true,"drainedByPrune",0,0,0,1,0,0,0
